name,aggregated_abilities,institution,program,latest_location,experience_years,firm_list,aggregated_skill,person_id
Database Administrator,"['Installation and Building Server', 'Running Backups', 'Recovering and Restoring Models', 'Support various MS SQL Server', 'MS SQL Server 2005/2008', 'environments from SQL Server', '/2008R2R2/2012/2014', '2005 thru SQL Server 2008r2 as', 'administration including', 'well as with SQL Server 2012 on', 'installation, configuration,', 'upgrades, capacity planning,', 'performance tuning, backup and', 'recovery.', 'Familiar with virtualization and', 'managing SQL databases in a', 'virtual environment.', 'Management of users including', 'creation/alteration, grant of', 'system/DB roles and permissions', 'on various database objects.', 'Design and implement SQL Server', '201, databases for mission-critical', '2005, SQL Server 2008 R2,', 'business.', 'Environment transition planning', '(development, test, stage,', 'production).', 'Perform routine backup and', 'recovery testing and documenting', 'recovery scenarios.', 'Use SQL Profiler for', 'troubleshooting, monitoring, and', 'optimization of SQL Server and', 'SQL code.', 'Manage the production and', 'development databases including', 'performance tuning, capacity', 'planning, SQL Server clustering,', 'database security configuration,', 'and database continuity.', 'Excellent analytical,', 'communication skills, work ethics', 'and ability to work in a team', 'environment with strong', 'determination and commitment to', 'the deliverables.', 'Highly motivated self-starter with', 'the ability to work independently.']",Lead City University,Bachelor of Science,"Alpharetta, GA",10.73237509,"['Family Private Care LLC', 'Incomm']","['Database administration', 'Database', 'Ms sql server', 'Ms sql server 2005', 'Sql server', 'Sql server 2005', 'Sql server 2008', 'Sql server 2008 r2', 'Sql server 2012', 'Sql', 'Sql queries', 'Stored procedures', 'Clustering', 'Backups', 'T-sql', 'Virtualization', 'R2', 'Maintenance', 'Problem solving', 'Shipping', 'Database administration', 'Database', 'Ms sql server', 'Ms sql server 2005', 'Sql server', 'Sql server 2005', 'Sql server 2008', 'Sql server 2008 r2', 'Sql server 2012', 'Sql', 'Sql queries', 'Stored procedures', 'Clustering', 'Backups', 'T-sql', 'Virtualization', 'R2', 'Maintenance', 'Problem solving', 'Shipping']",1
Database Administrator,"['database management systems administration', 'developing and maintaining database', 'working on high-end servers', 'analyzing business requirements', 'developing and designing data models', 'providing and designing db tools', 'assessing and executing implementing of new technologies', 'working in coordination with company developers and project managers', 'developing training programs', 'training technical support and applications personnel', 'monitoring performance and capacity', 'providing resolutions to system problems', 'providing technical support for sql database environment', 'overseeing databases development and organization', 'communicating regularly with staff', 'creating database with back-up system', 'monitoring data availability for faster query response', 'designing conceptual schema as per the client needs', 'looking after the security of company data', 'testing and installing latest versions of database management systems', 'granting access to users as per their needs and requirements']",lagos state university,bsc in computer science,"Lagos, GU",2.663928816,['Intercontinental Registry'],"['sql server management studio', 'visual studio', 'sql', 'microsoft powerpoint', 'windows xp', 'microsoft office', 'assembly language', 'microsoft windows 7', 'c', 'c#', 'visual basic', 'java programming', 'microprocessors', 'hardware/systems design', 'digital electronics', 'system organization', 'microsoft excel']",2
Oracle Database Administrator,"['Over 4+ years of Experience as Architecture', 'Experienced in Installation and Maintaining Highly Critical Databases in any Operational mode on Unix/Linux, Sun Solaris', 'Experienced in 10g, 11g, 12c databases', ""Responsible for installing Oracle 11g and 12c in Single Node & Multi node's Configure host and listener"", 'Experienced in Creating Users, Roles and Profiles, Assigning Roles and Profiles to Users', 'Experience on Data Guard setup 10g/11g/12c', 'Expertise in Managing and monitoring Database Storage Structures, Data Files Space, Resizing and Adding new Data files', 'Maintaining the Cold and Hot, Logical and RMAN Backups of the Databases', 'Performing Logical Backups Using Export Utility and Restoring Specific Object or Schema Using Import Utility', 'Monitoring and Performing Daily incremental Backups, Weekly Backups Using RMAN', 'Experience in Concept of Flashback Mechanism', 'Having Good and Usable Knowledge on Automatic Storage Management(ASM), Conversion of Non-ASM Database to ASM Database and Monitoring ASM instances', 'Experience on Cloning User man and RMAN', 'Experience on Applying patches to Database CPU and PSU and interim Patches', 'Experience on Performance tuning and Troubleshooting of Database', 'Maintaining of Buffer Cache, Library Cache, and Dictionary Cache', 'Taking Care of Wait Events, Analysing Instance and System Performance', 'Analysing the DB performance Using AWR, ASH and ADDM Reports', 'Upgrade Database from 10g to 11g and 11g to 12c', 'Creation of ASM Databases, ASM Instances', 'Backups & Recovery of Databases, Table-Spaces, Data files, Design and Develop Database Backup, Recovery and Operations Procedures']","JNTU - Kakinada, Andhra Pradesh",Master of Computer Applications in Science and technology,"Hyderabad, Telangana",10.48049281,"['Cognizant', 'Convergys']","['DATABASES', 'ORACLE (4 years)', 'ORACLE 10G', 'SQL', 'LINUX', 'RMAN (4 years)', 'DATAGUARD (3 years)', 'DATABASES', 'ORACLE (4 years)', 'ORACLE 10G', 'SQL', 'LINUX', 'RMAN (4 years)', 'DATAGUARD (3 years)']",3
"Amazon Redshift Administrator and ETL Developer, Business Intelligence","['SQL management', 'PostgresSQL', 'Oracle', 'MySQL', 'microsoft office', 'PHP', '.NET', 'ETL', 'Data Warehouse', 'Datastage', 'Data Stage', 'Data modeling and database design', 'Metadata management and repository usage', 'Manage large databases', 'Backup and recovery procedures', 'Solve technical problems', 'Good communication skills', 'Procedural skills', 'Focus on deadlines and deliverables', 'Work with SQL Management, PostgreSQL, Oracle, MySQL, Microsoft Office']",University of Informatics,Bachelor in Computer Science,"CEIGE, LA HAVANA CUBA",0,"['MSP Recovery - Fort Lauderdale, FL', 'CEAACES - Quito, Provincia de Pichincha', 'Ceige - Havana, IL']","['Maintain multiple database environments (Redshift, RDS) in AWS', 'User management and group in Redshift', 'Design and Developed ETL jobs to extract data from RDS and load it in Redshift Matillion ETL and python script', 'Experience working within the AWS Big Data Ecosystem (S3, RDS, and Redshift)', 'Expertise in development of various reports and prepare the data for the utilization with tableau', 'Expertise Query Tuning and Performance optimization and Implementing Work Load management', 'Managing Amazon Redshift Snapshots using the console', 'Designed of Conceptual Logical Model and Physical Model', 'Implemented, supported and managed the database', 'Kept data integrity and availability', 'Designed, deployed and monitored database servers', 'Managed user administration', 'Migrated different databases in SQL Management, PostgreSQL and Oracle', 'Migrated and created new database structures, such as tables, indexes and stored procedures from development to the production environment', 'Created and tuned query, stored procedures, triggers, views and added/changed tables for data load and transformation, and data extraction', 'Created backup and restored strategy of production, development and test environments', 'Executed recovery databases and created the documentation to provide the disaster recovery processes', 'Produced entity relationship & data flow diagrams, database normalization schemata logical to physical database maps, and data table parameters', 'Installed and managed Database Server', 'Created and monitored user accounts, user permissions, database extents and table partitions', 'Implemented robust backup and recovery procedures based on data volatility and application availability requirements', 'Monitored and optimized system performance using index tuning, disk optimization, and other methods', 'Monitored the size of the transaction log. Managed databases on multiple disks using Disk Mirroring technology', ""Collected, stored, managed, and enabled the ability to query the organization's metadata"", 'Ensured data availability using administration tactics', 'Designed, debugged, implemented, and maintained stored procedures, triggers, and user-defined functions that are stored in the DBMS']",4
Scrum Master Scrum Master Scrum Master,"['Scrum Master', 'Agile software development', 'Product backlog management', 'Metrics and status tracking', 'Dependency management', 'Problem solving', 'Continuous improvement', 'Production support', 'Oracle database administration', 'RMAN backups', 'Security patching', 'Performance tuning', 'ASM configuration', 'Auditing', 'Database monitoring', 'Grid-based monitoring', 'Data Guard configuration', 'Oracle Streams', 'Materialized views', 'Oracle Enterprise Manager', 'Oracle RAC maintenance', 'Data replication']",Virginia Commomwealth University,,"Richmond, VA",6.915811088,"['Quest Technologies', 'Prudential', 'Time Warner Cable']","['Scrum', 'Agile software development', 'Product backlog grooming', 'Burnup and burndown charts', 'Dependency management', 'Problem solving', 'Continuous improvement', 'Production support', 'Scrum', 'Agile process', 'Sprint planning', 'Backlog grooming', 'Retrospective meetings', 'Oracle 10g and 11g administration', 'RMAN backups', 'Security patching', 'Performance tuning', 'ASM configuration', 'Auditing', 'Database monitoring', 'Grid-based monitoring', 'Data Guard configuration', 'Oracle Streams', 'Materialized views', 'Oracle Enterprise Manager', 'Oracle RAC maintenance', 'Data replication', 'TOAD']",5
Oracle Database Administrator,"['Oracle Database Administration', 'Database Backup and Recovery', 'Database Tuning and Optimization', 'Database Cloning and Migration', 'Database Patching and Upgrades', 'Database Security Management', 'SQL Tuning', 'PL/SQL Development', 'Shell Scripting', 'RMAN', 'Data Guard', 'RAC', 'ASM', 'GoldenGate', 'Enterprise Manager', 'Flashback Technology', 'Performance Monitoring and Tuning', 'SQL Tuning Tools', 'Data Pump', 'Transportable Tablespaces', 'Materialized Views', 'Replication', 'Technical Support', 'Equipment Installation and Maintenance', 'Software Updates', 'Electrical Safety Testing', 'Data Entry', 'Microsoft Excel']","School of Professional and Graduate Studies/Technical Courses, BAKER UNIVERSITY",,"Columbia, MD",15.14579055,"['SUNTRUST BANK', 'ESTES-EXPRESS', 'ROCHE DIAGNOSTICS FOR ADECCO TECHNICAL']","['Oracle Databases', 'Database Administration', 'Database Monitoring', 'Database Tuning', 'Database Backup and Recovery', 'Database Cloning', 'Database Patching', 'Database Upgrades', 'Database Migration', 'Database Security', 'SQL Tuning', 'PL/SQL', 'Shell Scripting', 'RMAN', 'Data Guard', 'RAC', 'ASM', 'GoldenGate', 'Enterprise Manager', 'Flashback Technology', 'Performance Monitoring and Tuning', 'SQL Tuning Tools', 'Data Pump', 'Transportable Tablespaces', 'Materialized Views', 'Replication', 'Oracle Database Administration', 'Database Cloning', 'Database Migration', 'Database Backup and Recovery', 'Database Patching', 'Database Upgrades', 'Database Security', 'Database Monitoring', 'Database Tuning', 'SQL Tuning', 'RMAN', 'Data Pump', 'Transportable Tablespaces', 'Materialized Views', 'Streams', 'Physical Standby Databases', 'Data Guard', 'Technical Support', 'Equipment Installation', 'Equipment Maintenance', 'Software Updates', 'Electrical Safety Testing', 'Data Entry', 'Microsoft Excel']",6
Oracle Database Administrator,"['Oracle Database Administration', 'Oracle Exadata', 'Oracle Enterprise Manager', 'Oracle RAC', 'Linux Administration', 'Solaris Administration', 'Database Installation', 'Database Upgrading', 'Database Patching', 'Database Sizing', 'Database Objects Management', 'Data Migrations', 'Database Troubleshooting', 'Database Performance Tuning', 'Database Backup and Recovery', 'Database Integrity and Security', 'Transparent Data Encryption', 'Software Quality Assurance', 'Requirement Gathering', 'Test Cases Development', 'Oracle EBS Administration', 'Oracle Clusterware Administration', 'ASM Administration', 'Grid Infrastructure Installation', 'RMAN Administration', 'Disaster Recovery Planning', 'Archival Processing', 'Data Protection', 'SQL Tuning', 'Database Patching', 'Logical and Physical Data Modeling', 'Database Migration and Upgrades', 'Oracle Dataguard Administration', 'Cross Platform Database Migrations', 'Database Cloning and Refreshes', 'Database Performance Monitoring and Tuning', 'Database Maintenance and Documentation']",University Of Yaounde,Biochemistry,"Columbus, OH",0,"['Caresource', 'Anthem', 'PNC Bank']","['Oracle Database', 'Oracle Database Administration', 'Oracle Exadata', 'Oracle Enterprise Manager Cloud Control 12c & 13c', 'Oracle 11gR2 RAC', 'Linux', 'Solaris', 'Installation', 'Upgrading', 'Patching', 'Sizing', 'Oracle Databases', 'Oracle Database Objects', 'Data Migrations', 'Troubleshooting', 'Performance & Tuning', 'Backup & Recovery', 'Database Integrity', 'Security', 'TDE', 'Transparent Data Encryption', 'SQA', 'Software Quality Assurance', 'Requirement Gathering', 'Test Cases Development', 'Oracle EBS', 'Oracle 9i', 'Oracle 10g', 'Oracle 11g', 'Oracle 12c RAC', 'Oracle Clusterware', 'ASM', 'Grid Installation', 'RAC Clusterware Administration', 'Configuration', 'Patching', 'SRVCTL', 'CRSCTL', 'ASMCMD', 'CELLCLI', 'DCLI', 'RMAN', 'Recovery Manager', 'PITR', 'TSPITR', 'Export/Import', 'Flashback Technologies', 'Disaster Recovery', 'Archival Processing', 'Data Protection', 'Performance Tuning', 'EXPLAIN PLAN', 'TKPROF', 'STATSPACK', 'SQL TRACE', 'ORADEBUG', 'SQL Coding', 'DDL', 'DML', 'V$ Performance Views', 'SQL Tuning Advisor', 'SQL Profiles', 'SQL Monitoring', 'SQL Access Advisor', 'SQL Baselines', 'SQLTXTRACT', 'Patching', 'Critical Patch Update', 'Patch Set Update', 'One-off Patches', 'OPatch', 'Logical Data Model', 'Physical Data Model', 'ERwin Modeler', 'Flashback Recovery', 'Data Pump', 'AWR', 'ASM', 'ADDM', 'ASH', 'Recycle Bin', 'Grid Monitoring', 'Cross Platform Migrations', 'Windows', 'Linux', 'Solaris', 'HP', 'AIX', 'Oracle Dataguard', 'Physical Standby Databases', 'Disaster Recovery', 'RMAN', 'Shell Scripts', 'ASM File System Migration', 'RMAN Catalog', 'RMAN No Catalog', 'Point-In-Time Recovery', 'Flashback', 'Cross Platform Transportable Tablespace', 'Statspack', 'AWR', 'ADDM', 'TKPROF', 'Explain Plan', 'Upgrades', 'Patches', 'TAR Support', 'Cloning', 'Backups', 'Recovery Manager', 'Performance Tuning', 'Capacity Planning', 'Documentation', 'Exadata', 'Red Hat Linux 6.5', 'Datapump', 'EXPDP', 'IMPDP', 'RMAN Duplicate', 'Database Cloning', 'Backup/Restoration Strategy', 'Logical Backups', 'Export/Import Data Pump', 'Oracle Enterprise Manager 12c', 'Oracle Management Repository', 'EMCTL', 'Incident Rules', 'Administration Groups', 'Template Collections', 'SQL Tuning', 'PL/SQL Tuning', 'Oracle Contention', 'AWR', 'ADDM', 'ASH', 'Secure SCP', 'Secure FTP', 'Database Cloning', 'RMAN', 'SQL Trace', 'TKPROF', 'STATSPACK', 'Explain Plan', 'AWR', 'ADDM', '2 Node RAC', 'Linux 11g R2', 'Dataguard', 'Logical Standby', 'Physical Standby', 'RMAN', 'Datapump Export/Import', 'Recovery Strategies', 'Database Crash Recovery', 'Media/Disk Failure Recovery', 'Physical Backups', 'CRON', 'RMAN', 'Oracle 11g', 'Oracle 12C RAC', 'Golden Gate', 'ASM', 'CRS', 'User Management', 'Groups', 'Roles', 'Profiles', 'Privileges', 'SQL Trace', 'TKPROF', 'Explain Plan', 'Integrity Constraints', 'Database Triggers', 'Security Patches', 'Patch Set', 'Critical Patch Updates', 'Patch Set Updates', 'One-off Patch', 'Transportable Tablespace', 'Datapump Export/Import', 'Data Refreshes', 'RMAN', 'Oracle 9i', 'Oracle 10g', 'Oracle 10gR2 RAC', 'Oracle 11g', 'Oracle 12c', 'Oracle Wallet', 'Tablespace TDE', 'V$ Dynamic Performance Views', 'Alert Log Files', 'Trace Files', 'Space Management', 'Capacity Planning', 'Disaster Recovery', 'Database Maintenance', 'Physical Standby', 'Failover', 'Switchover', 'Data Guard Broker', 'Materialized Views', 'Oracle Streams', 'Oracle 10gR2 Patches']",7
Lead Database Administrator/Developer,"['Collaborate with a team of diverse and multifaceted database administrators', 'Effectively gather requirements for business and technical design, development, and testing implementation', 'Successfully perform database monitoring and tuning', 'Ensure proper operational activities including backups and restores, troubleshooting of applications, and moves, adds, and changes', 'Audit, modify, and amend data in systems utilizing SQL commands, bulk import, and manual-editing', 'Organize logistics with regard to database changes necessary for data conversion, tool configuration, data refresh migration, and other initiatives for large application development projects', 'Configure, manage & upgraded Windows Servers 2008 R2, 2012 R2 and 2016 specifically as it relates to MS SQL Server installations and mission critical systems', 'Organized a successful transition from legacy system to new Cloud systems with minimal disruption to the business', 'Eliminated months of production server issues by systematically troubleshooting and resolving the problem with no further downtime', 'Reduced the deployment downtown by recommending incremental backup procedures in order to expedite Production code deploys', 'Improved the release process by implementing and adapting the Agile software development methodology', 'Effectively oversaw a team of six production support analysts, developers and administrators', 'Managed production, processes, and job amends and corrections to ensure all SLAs were met', 'Successfully identified processing deficiencies while driving automation techniques effectively increasing workflow efficiency and maximizing operations', 'Collaborated directly with a diverse and multifaceted team to ensure minimal downtime of implemented systems with full responsibility for 24/7 application support', 'Reduced bill cycle turnaround time by one day for billing department while creating statistical scorecards for bill cycle run times', 'Improved vital processing jobs by reducing process duration by 60%', 'Managed core database administration activities enterprise-wide including Oracle database configuration, and infrastructure', 'Successfully administered policy and best practices for all database systems including logical and physical designs, maintenance, backup, and recovery', 'Effectively drove day to day and routine support, troubleshooting of issues, and backup and recovery', 'Created and managed roles and profiles including granting, revoking, and updating user access to Oracle databases', 'Collaborated with a team of six database administrators in an effort to drive daily operational support including database installation, management, and daily support activities', 'Oversaw management for database design, structure, data integrity, and delivery of data services for multiple systems', 'Implemented improvements in data management for the IT department ensuring compliance of database policies and procedures', 'Analyzed database security audit reporting for database access and SOX compliance', 'Created indexes ensuring optimum database performance and data loading to better manage disk space and optimized disk I/O', 'Completed database restores and recovery operations including database refreshes of production data to better test and develop databases to ensure all are in sync after restoration']",Bowie State University,Bachelor's Degree in BiologyChem / Computer Science,"Bowie, MD",0,"['Department of Housing and Urban Development', 'Citi Group', 'Citi Group', 'University of Maryland, University College']","['Databases', 'Database Administration', 'Database Development', 'DBA', 'ETL', 'Oracle Dba', 'Sql Dba', 'Sql Server', 'Ssis']",8
"Dominion Diagnostics, LLC","['Database Administration', 'Database Development', 'ETL', 'Replication', 'SQL Syntax', 'Query Optimization', 'Stored Procedures', 'Index Performance', 'Data Lakes', 'Data Warehouses', 'Triggers', 'Alerts', 'Backup Routines', 'Maintenance', 'Disaster Recovery', 'Team Management', 'Rollout Operations', 'VB6 Scripting', 'Data Trending', 'Data Validation', 'Migrations', 'Schema Design', 'Custom Scripting', 'Data Consistency', 'Excel Reporting', 'VB6', 'VBA', 'Project Management', 'Technical Support', 'Team Leadership', 'Liaison', 'Project Rollout', 'Order Processing', 'Warranty']",Bridgewater State University,Management - Information Systems,"Southborough, MA",12.31211499,"['Dominion Diagnostics, LLC', 'Teknor Apex Company', 'CVS Health', 'CVS Health', 'CVS Health', 'Kaz USA Inc']","['MS SQL Server', 'IBM DB2', 'Oracle 11g', 'MySQL', 'ETL', 'Replication', 'SQL Syntax', 'Query Optimization', 'Stored Procedures', 'Index Performance', 'Data Lakes', 'Data Warehouses', 'Triggers', 'Alerts', 'SQL Server', 'Replication', 'Log Shipping', 'Performance Alerts', 'Query Tuning', 'Schema Design', 'Backup Routines', 'Maintenance', 'Disaster Recovery', 'SQL Server', 'Application Health', 'Team Management', 'Rollout Operations', 'VB6 Scripting', 'Data Trending', 'Data Validation', 'Migrations', 'MySQL', 'Schema Design', 'Custom Scripting', 'Data Consistency', 'Excel Reporting', 'VB6', 'VBA', 'Project Management', 'Technical Support', 'Team Leadership', 'Liaison', 'Project Rollout', 'Technical Support', 'Order Processing', 'Warranty', 'Oracle Database']",9
Oracle Database Administrator,"['database design', 'monitoring & performance tuning', 'migration', 'upgrades', 'backup & recovery', 'cloning', 'replication', 'security implementations', 'analytical', 'verbal', 'written', 'organizational', 'team player', 'motivational style', 'innovative solutions', 'manage multiple priorities', 'perform under pressure', 'proactive learner', 'update skills', 'improve productivity']",University of Maryland-University College,Information Technology,"Greenbelt, MD",12.48459959,"['Uber Technologies Inc', 'SYSCO', 'NFI']","['DATABASE', 'ORACLE', 'PL/SQL', 'SQL', 'ENCRYPTION', 'RMAN', 'LINUX', 'SHELL SCRIPTING', 'UNIX', 'UNIX SHELL', 'ETL', 'INFORMATICA', 'BASH', 'SCRIPTING', 'SECURITY', 'CAPACITY PLANNING', 'PERFORMANCE TUNING', 'OEM', 'CLONING', 'ARCHITECTURE', 'DBA', 'Oracle Dba', 'Sql Server', 'DATABASE', 'ORACLE', 'PL/SQL', 'SQL', 'LINUX', 'UNIX', 'RMAN', 'DATAPUMP', 'DBUA', 'DATA GUARD', 'DATABASE', 'ORACLE', 'DATAPUMP', 'DBUA', 'RMAN', 'LINUX', 'WINDOWS', 'SQL SERVER']",10
